波长,光电流A,暗电流A,净光电流A,光功率密度W/mm2,金刚石探测器面积mm2,探测器上光功率W,响应度A/W
200,4.17E-08,5.53E-09,3.62E-08,7.86401E-07,0.1891,1.48708E-07,0.243227734
205,4.38E-08,5.53E-09,3.83E-08,8.33258E-07,0.1891,1.57569E-07,0.242877489
210,4.47E-08,5.53E-09,3.92E-08,8.13411E-07,0.1891,1.53816E-07,0.254654834
215,4.60E-08,5.53E-09,4.05E-08,7.91719E-07,0.1891,1.49714E-07,0.270315358
220,3.80E-08,5.53E-09,3.25E-08,7.48806E-07,0.1891,1.41599E-07,0.229309034
225,1.90E-08,5.53E-09,1.35E-08,7.27757E-07,0.1891,1.37619E-07,0.097879065
230,1.24E-08,5.53E-09,6.87E-09,7.81959E-07,0.1891,1.47868E-07,0.046460204
240,9.30E-09,5.53E-09,3.77E-09,1.03844E-06,0.1891,1.96369E-07,0.019198516
250,9.82E-09,5.53E-09,4.29E-09,1.62241E-06,0.1891,3.06798E-07,0.013983119
260,1.04E-08,5.53E-09,4.87E-09,2.23327E-06,0.1891,4.22312E-07,0.011531772
270,1.16E-08,5.53E-09,6.07E-09,3.02823E-06,0.1891,5.72639E-07,0.010600049
280,1.17E-08,5.53E-09,6.17E-09,4.37596E-06,0.1891,8.27494E-07,0.007456247
290,1.18E-08,5.53E-09,6.27E-09,5.89616E-06,0.1891,1.11496E-06,0.005623503
300,1.17E-08,5.53E-09,6.17E-09,8.78101E-06,0.1891,1.66049E-06,0.003715773
310,1.08E-08,5.53E-09,5.27E-09,1.21221E-05,0.1891,2.29229E-06,0.002299008
320,1.08E-08,5.53E-09,5.27E-09,1.84803E-05,0.1891,3.49462E-06,0.001508032
330,1.06E-08,5.53E-09,5.07E-09,2.65023E-05,0.1891,5.01159E-06,0.001011654
340,1.01E-08,5.53E-09,4.57E-09,3.61812E-05,0.1891,6.84187E-06,0.000667946
350,9.94E-09,5.53E-09,4.41E-09,4.61895E-05,0.1891,8.73444E-06,0.000504898
360,9.49E-09,5.53E-09,3.96E-09,5.47461E-05,0.1891,1.03525E-05,0.000382517
370,9.13E-09,5.53E-09,3.60E-09,6.06043E-05,0.1891,1.14603E-05,0.000314129
380,9.26E-09,5.53E-09,3.73E-09,6.49922E-05,0.1891,1.229E-05,0.000303498
390,1.12E-08,5.53E-09,5.67E-09,6.7208E-05,0.1891,1.2709E-05,0.000446139
400,1.12E-08,5.53E-09,5.67E-09,6.28407E-05,0.1891,1.18832E-05,0.000477145
420,1.15E-08,5.53E-09,5.97E-09,6.10746E-05,0.1891,1.15492E-05,0.000516919
440,1.10E-08,5.53E-09,5.47E-09,5.10472E-05,0.1891,9.65302E-06,0.000566662
460,1.05E-08,5.53E-09,4.97E-09,5.5087E-05,0.1891,1.0417E-05,0.000477107
480,1.17E-08,5.53E-09,6.17E-09,5.18329E-05,0.1891,9.8016E-06,0.000629489
500,1.26E-08,5.53E-09,7.07E-09,4.54935E-05,0.1891,8.60283E-06,0.000821823
520,1.29E-08,5.53E-09,7.37E-09,4.07013E-05,0.1891,7.69663E-06,0.000957563
540,1.29E-08,5.53E-09,7.37E-09,3.69843E-05,0.1891,6.99374E-06,0.0010538
560,1.27E-08,5.53E-09,7.17E-09,3.39882E-05,0.1891,6.42717E-06,0.001115577
580,1.28E-08,5.53E-09,7.27E-09,3.22522E-05,0.1891,6.09889E-06,0.001192019
600,1.24E-08,5.53E-09,6.87E-09,2.89687E-05,0.1891,5.47798E-06,0.001254111
620,1.20E-08,5.53E-09,6.47E-09,2.86921E-05,0.1891,5.42567E-06,0.001192479
640,1.17E-08,5.53E-09,6.17E-09,2.49221E-05,0.1891,4.71278E-06,0.001309206
660,1.13E-08,5.53E-09,5.77E-09,2.86041E-05,0.1891,5.40903E-06,0.001066735
